,avg_temp,avg_humidity,avg_dewpoint,avg_barometer,avg_windspeed,avg_gustspeed,avg_direction,month_rainfall,year_rainfall,max_rain_per_minute,max_temp,min_temp,max_humidity,min_humidity,max_pressure,min_pressure,max_windspeed,max_gustspeed,max_heat_index
2014-01-01,26.9,57,13.4,30.1,5.6,8.7,268,0.00,0.00,0.00,34.6,15.9,88,33,30.383,29.843,18.4,29.9,34.6
2014-01-02,35.2,30,6.3,30.2,12.5,17.8,237,0.00,0.00,0.00,44.6,18.0,70,19,30.338,29.886,24.2,34.5,44.6
2014-01-03,39.4,30,10.3,29.7,16.3,23.0,243,0.00,0.00,0.00,45.8,31.9,64,20,29.902,29.474,33.4,43.7,45.8
2014-01-04,12.0,80,7.1,30.0,2.5,4.2,81,0.00,0.00,0.00,31.9,5.4,87,64,30.427,29.556,13.8,21.9,31.9
2014-01-05,3.3,71,4.1,30.5,3.3,5.5,346,0.01,0.01,0.01,13.4,5.2,78,56,30.723,30.340,16.1,26.5,13.4
2014-01-06,22.0,40,0.9,30.3,13.1,18.8,238,0.03,0.03,0.01,55.4,5.6,90,30,30.558,29.914,29.9,39.1,55.4
2014-01-07,32.1,35,6.1,30.0,6.9,10.3,253,0.03,0.03,0.00,41.7,25.6,67,20,30.173,29.869,21.9,31.1,41.7
2014-01-08,27.5,54,12.2,30.0,6.0,8.7,259,0.03,0.03,0.00,36.3,13.6,78,35,30.172,29.889,18.4,24.2,36.3
2014-01-09,29.9,47,11.7,29.8,12.6,18.6,252,0.03,0.03,0.00,34.1,22.2,84,36,29.912,29.692,26.5,34.5,34.1
2014-01-10,24.2,47,6.6,29.8,13.8,21.2,260,0.03,0.03,0.00,30.9,18.4,64,36,29.869,29.694,32.2,49.5,30.9
2014-01-11,38.1,42,17.0,29.8,15.2,22.4,244,0.03,0.03,0.00,45.4,30.7,52,35,29.940,29.507,29.9,43.7,45.4
2014-01-12,28.0,50,11.0,29.7,9.4,14.8,263,0.03,0.03,0.00,39.9,21.1,87,35,30.013,29.460,26.5,40.3,39.9
2014-01-13,26.0,44,6.9,30.0,21.3,33.5,265,0.03,0.03,0.00,32.4,21.1,50,37,30.015,29.911,33.4,52.9,32.4
2014-01-14,31.7,39,9.3,30.3,8.3,13.3,274,0.03,0.03,0.00,35.5,28.4,48,28,30.388,29.924,27.6,39.1,35.5
2014-01-15,35.4,36,10.8,30.1,18.4,25.3,220,0.03,0.03,0.00,41.6,30.3,49,22,30.223,29.953,31.1,44.9,41.6
2014-01-16,34.6,25,2.0,30.1,8.8,14.9,280,0.03,0.03,0.00,40.6,28.8,42,18,30.229,29.997,20.7,34.5,40.6
2014-01-17,34.7,32,7.3,30.1,12.9,18.1,239,0.03,0.03,0.00,43.2,28.4,45,24,30.187,29.979,25.3,38.0,43.2
2014-01-18,39.3,23,3.7,30.1,9.5,14.3,261,0.03,0.03,0.00,47.6,31.6,32,13,30.146,29.993,24.2,32.2,47.6
2014-01-19,41.5,25,8.1,30.0,16.2,22.6,244,0.03,0.03,0.00,47.9,37.3,28,20,30.024,29.874,31.1,43.7,47.9
2014-01-20,37.3,22,1.7,30.1,8.6,12.0,239,0.03,0.03,0.00,44.8,32.9,29,12,30.346,29.870,21.9,28.8,44.8
2014-01-21,41.4,9,13.9,30.1,17.5,24.8,246,0.03,0.03,0.00,49.4,19.9,75,5,30.248,29.916,33.4,49.5,49.4
2014-01-22,18.6,80,13.5,30.1,3.4,5.4,71,0.03,0.03,0.00,19.9,17.3,83,75,30.171,30.088,8.1,11.5,19.9
2014-01-23,16.3,65,5.0,30.6,2.3,3.7,27,0.09,0.09,0.01,30.1,1.5,83,15,30.780,30.171,16.1,25.3,30.1
2014-01-24,37.4,18,3.2,30.2,14.1,20.4,254,0.09,0.09,0.00,46.9,29.4,28,11,30.450,30.080,28.8,38.0,46.9
2014-01-25,42.9,26,9.8,30.0,11.9,17.9,256,0.09,0.09,0.00,51.1,36.8,34,19,30.114,29.808,23.0,33.4,51.1
2014-01-26,33.3,43,10.6,29.8,10.7,15.4,234,0.09,0.09,0.00,46.8,10.3,80,20,30.115,29.633,28.8,36.8,46.8
2014-01-27,8.4,78,3.0,30.3,1.5,2.6,58,0.09,0.09,0.00,12.4,2.0,80,74,30.513,30.066,8.1,11.5,12.4
2014-01-28,13.7,45,6.9,30.4,4.9,8.1,266,0.27,0.27,0.01,29.1,9.3,76,20,30.600,30.080,19.6,31.1,29.1
2014-01-29,32.3,44,12.1,29.8,19.8,28.2,241,0.27,0.27,0.00,37.5,25.6,74,22,30.080,29.413,39.1,52.9,37.5
2014-01-30,28.8,74,21.5,29.6,5.4,8.0,253,0.27,0.27,0.00,34.9,20.3,89,57,29.772,29.441,15.0,21.9,34.9
2014-01-31,18.8,84,14.8,29.8,1.3,2.1,79,0.38,0.38,0.01,27.5,6.3,87,79,29.961,29.708,6.9,10.4,27.5
2014-02-01,13.1,79,7.9,30.1,2.0,3.2,74,0.04,0.42,0.02,22.3,0.2,87,71,30.493,29.835,11.5,16.1,22.3
2014-02-02,13.8,56,0.2,30.2,4.2,6.5,269,0.09,0.47,0.01,29.7,2.6,81,27,30.396,30.029,23.0,29.9,29.7
2014-02-03,20.9,52,5.0,30.0,5.6,8.5,229,0.10,0.48,0.01,28.8,14.3,81,31,30.089,29.853,20.7,26.5,28.8
2014-02-04,5.9,74,0.7,30.2,3.4,5.2,65,0.10,0.48,0.00,15.2,12.0,80,65,30.590,29.976,11.5,16.1,15.2
2014-02-05,9.1,66,17.5,30.7,2.0,3.0,42,0.13,0.51,0.01,7.2,22.5,71,60,30.888,30.477,12.7,17.3,7.2
2014-02-06,10.3,64,0.0,30.3,3.9,5.8,243,0.13,0.51,0.00,24.4,6.5,73,44,30.554,29.854,17.3,24.2,24.4
2014-02-07,26.0,56,12.4,29.8,6.5,9.6,241,0.15,0.53,0.01,32.8,18.0,78,39,29.922,29.738,17.3,26.5,32.8
2014-02-08,31.5,60,18.6,29.8,8.6,12.9,247,0.16,0.54,0.01,37.3,20.3,88,42,29.947,29.757,20.7,31.1,37.3
2014-02-09,29.7,76,22.6,29.9,4.4,6.6,259,0.27,0.65,0.03,40.5,17.0,89,49,30.063,29.737,19.6,26.5,40.5
2014-02-10,28.6,66,17.8,30.0,3.7,5.7,281,0.29,0.67,0.01,40.5,14.0,86,31,30.228,29.877,11.5,19.6,40.5
2014-02-11,28.3,43,7.9,30.1,8.8,13.1,244,0.29,0.67,0.00,35.8,13.6,85,31,30.223,29.933,20.7,34.5,35.8
2014-02-12,32.1,48,14.2,29.9,14.0,20.9,250,0.29,0.67,0.00,38.1,26.9,72,35,30.153,29.759,29.9,42.6,38.1
2014-02-13,39.0,51,21.9,29.8,13.0,20.4,262,0.29,0.67,0.00,44.9,32.8,76,36,29.865,29.659,26.5,42.6,44.9
2014-02-14,37.1,38,12.8,29.8,12.8,20.3,257,0.30,0.68,0.01,43.2,30.0,61,14,29.990,29.705,28.8,42.6,43.2
2014-02-15,45.6,37,20.4,29.7,13.7,21.0,257,0.31,0.69,0.01,49.4,39.5,67,26,29.819,29.633,31.1,43.7,49.4
2014-02-16,40.9,45,18.8,29.7,10.5,15.4,253,0.31,0.69,0.00,49.3,24.5,90,24,29.944,29.566,38.0,42.6,49.3
2014-02-17,34.8,27,2.7,30.0,18.2,26.3,252,0.31,0.69,0.00,44.3,22.4,51,17,30.166,29.702,33.4,50.6,44.3
2014-02-18,39.9,26,6.5,29.8,14.0,20.3,254,0.31,0.69,0.00,46.1,29.0,54,15,29.916,29.658,32.2,44.9,46.1
2014-02-19,36.7,37,10.5,29.6,11.7,16.9,243,0.31,0.69,0.00,46.4,22.2,87,19,29.873,29.384,29.9,38.0,46.4
2014-02-20,19.8,36,2.9,30.0,12.9,20.2,263,0.31,0.69,0.00,24.4,16.2,50,27,30.102,29.647,33.4,49.5,24.4
2014-02-21,27.5,41,6.4,29.9,12.0,18.5,261,0.31,0.69,0.00,32.4,20.5,61,27,30.005,29.856,26.5,39.1,32.4
2014-02-22,28.2,56,13.9,29.9,4.5,7.1,248,0.31,0.69,0.00,34.0,19.5,81,31,30.034,29.786,16.1,26.5,34.0
2014-02-23,34.5,44,13.0,29.9,12.1,18.0,253,0.31,0.69,0.00,44.2,19.4,84,24,30.034,29.711,33.4,49.5,44.2
