,date,avg_temp,avg_humidity,avg_dewpoint,avg_barometer,avg_windspeed,avg_gustspeed,avg_direction,day_rainfall,month_rainfall,year_rainfall,max_rain_per_minute,max_temp,min_temp,max_humidity,min_humidity,max_pressure,min_pressure,max_windspeed,max_gustspeed,max_heat_index,weather_code
0,2014-01-01,-2.83,57,-10.33,30.1,5.6,8.7,268,0.0,0.0,0.0,0.0,1.44,-8.94,88,33,30.383,29.843,18.4,29.9,34.6,No Rain
1,2014-01-02,1.78,30,-14.28,30.2,12.5,17.8,237,0.0,0.0,0.0,0.0,7.0,-7.78,70,19,30.338,29.886,24.2,34.5,44.6,No Rain
2,2014-01-03,4.11,30,-12.06,29.7,16.3,23.0,243,0.0,0.0,0.0,0.0,7.67,-0.06,64,20,29.902,29.474,33.4,43.7,45.8,No Rain
3,2014-01-04,-11.11,80,-13.83,30.0,2.5,4.2,81,0.0,0.0,0.0,0.0,-0.06,-14.78,87,64,30.427,29.556,13.8,21.9,31.9,No Rain
4,2014-01-05,-15.94,71,-15.5,30.5,3.3,5.5,346,0.25,0.25,0.25,0.25,-10.33,-14.89,78,56,30.723,30.34,16.1,26.5,13.4,Rain
5,2014-01-06,-5.56,40,-17.28,30.3,13.1,18.8,238,0.51,0.76,0.76,0.25,13.0,-14.67,90,30,30.558,29.914,29.9,39.1,55.4,Rain
6,2014-01-07,0.06,35,-14.39,30.0,6.9,10.3,253,0.0,0.76,0.76,0.0,5.39,-3.56,67,20,30.173,29.869,21.9,31.1,41.7,No Rain
7,2014-01-08,-2.5,54,-11.0,30.0,6.0,8.7,259,0.0,0.76,0.76,0.0,2.39,-10.22,78,35,30.172,29.889,18.4,24.2,36.3,No Rain
8,2014-01-09,-1.17,47,-11.28,29.8,12.6,18.6,252,0.0,0.76,0.76,0.0,1.17,-5.44,84,36,29.912,29.692,26.5,34.5,34.1,No Rain
9,2014-01-10,-4.33,47,-14.11,29.8,13.8,21.2,260,0.0,0.76,0.76,0.0,-0.61,-7.56,64,36,29.869,29.694,32.2,49.5,30.9,No Rain
10,2014-01-11,3.39,42,-8.33,29.8,15.2,22.4,244,0.0,0.76,0.76,0.0,7.44,-0.72,52,35,29.94,29.507,29.9,43.7,45.4,No Rain
11,2014-01-12,-2.22,50,-11.67,29.7,9.4,14.8,263,0.0,0.76,0.76,0.0,4.39,-6.06,87,35,30.013,29.46,26.5,40.3,39.9,No Rain
12,2014-01-13,-3.33,44,-13.94,30.0,21.3,33.5,265,0.0,0.76,0.76,0.0,0.22,-6.06,50,37,30.015,29.911,33.4,52.9,32.4,No Rain
13,2014-01-14,-0.17,39,-12.61,30.3,8.3,13.3,274,0.0,0.76,0.76,0.0,1.94,-2.0,48,28,30.388,29.924,27.6,39.1,35.5,No Rain
14,2014-01-15,1.89,36,-11.78,30.1,18.4,25.3,220,0.0,0.76,0.76,0.0,5.33,-0.94,49,22,30.223,29.953,31.1,44.9,41.6,No Rain
15,2014-01-16,1.44,25,-16.67,30.1,8.8,14.9,280,0.0,0.76,0.76,0.0,4.78,-1.78,42,18,30.229,29.997,20.7,34.5,40.6,No Rain
16,2014-01-17,1.5,32,-13.72,30.1,12.9,18.1,239,0.0,0.76,0.76,0.0,6.22,-2.0,45,24,30.187,29.979,25.3,38.0,43.2,No Rain
17,2014-01-18,4.06,23,-15.72,30.1,9.5,14.3,261,0.0,0.76,0.76,0.0,8.67,-0.22,32,13,30.146,29.993,24.2,32.2,47.6,No Rain
18,2014-01-19,5.28,25,-13.28,30.0,16.2,22.6,244,0.0,0.76,0.76,0.0,8.83,2.94,28,20,30.024,29.874,31.1,43.7,47.9,No Rain
19,2014-01-20,2.94,22,-16.83,30.1,8.6,12.0,239,0.0,0.76,0.76,0.0,7.11,0.5,29,12,30.346,29.87,21.9,28.8,44.8,No Rain
20,2014-01-21,5.22,9,-10.06,30.1,17.5,24.8,246,0.0,0.76,0.76,0.0,9.67,-6.72,75,5,30.248,29.916,33.4,49.5,49.4,No Rain
21,2014-01-22,-7.44,80,-10.28,30.1,3.4,5.4,71,0.0,0.76,0.76,0.0,-6.72,-8.17,83,75,30.171,30.088,8.1,11.5,19.9,No Rain
22,2014-01-23,-8.72,65,-15.0,30.6,2.3,3.7,27,1.52,2.29,2.29,0.25,-1.06,-16.94,83,15,30.78,30.171,16.1,25.3,30.1,Rain
23,2014-01-24,3.0,18,-16.0,30.2,14.1,20.4,254,0.0,2.29,2.29,0.0,8.28,-1.44,28,11,30.45,30.08,28.8,38.0,46.9,No Rain
